12:02:22  | Kedoki2579 | /sell
12:02:22  | Kedoki2579 | /sell
12:03:05  | Jose9543 | /time set day
12:03:05  | Jose9543 | /time set day
12:03:28  | AiLaNhan | /pay jose 1000000
12:03:28  | AiLaNhan | /pay jose 1000000
12:03:33  | Jose9543 | /shop
12:03:33  | Jose9543 | /shop
12:03:45  | Jose9543 | /shop
12:03:45  | Jose9543 | /shop
12:05:43  | Jose9543 | /feed
12:05:43  | Jose9543 | /feed
12:05:54  | Kedoki2579 | /mission
12:05:54  | Kedoki2579 | /mission
12:06:00  | Jose9543 | /heal
12:06:00  | Jose9543 | /heal
12:06:31  | AiLaNhan | /kick jose gay cc
12:06:31  | AiLaNhan | /kick jose gay cc
12:07:38  | AiLaNhan | /tp ka
12:07:38  | AiLaNhan | /tp ka
12:08:37  | dbgamingvn2 | /feed
12:08:37  | dbgamingvn2 | /feed
12:08:40  | dbgamingvn2 | /sẽ
12:08:40  | dbgamingvn2 | /sẽ
12:08:45  | dbgamingvn2 | /ssp
12:08:45  | dbgamingvn2 | /ssp
12:09:09  | dbgamingvn2 | /shop
12:09:09  | dbgamingvn2 | /shop
12:09:18  | dbgamingvn2 | /enchant
12:09:18  | dbgamingvn2 | /enchant
12:10:10  | SeaLonggaming | /minion
12:10:10  | SeaLonggaming | /minion
12:10:14  | Hreinas | /ssp
12:10:14  | Hreinas | /ssp
12:10:27  | Hreinas | /ssp
12:10:27  | Hreinas | /ssp
12:10:39  | dbgamingvn2 | /hub
12:10:39  | dbgamingvn2 | /hub
12:10:41  | AiLaNhan | /tell sea mình op đc lấy free = lệnh
12:10:41  | AiLaNhan | /tell sea mình op đc lấy free = lệnh
12:10:47  | Kayne6162 | /is
12:10:47  | Kayne6162 | /is
12:10:54  | SeaLonggaming | /tp kay
12:10:54  | SeaLonggaming | /tp kay
12:11:10  | Hreinas | /is
12:11:10  | Hreinas | /is
